Playtype,Team,GP,Poss,Time,Points,FGM,FGA,PPP,WorsePPP,BetterPPP,FG,aFG,FT,TO,SF,PlusOne,Score
PRRollman,Denver Nuggets,48,323,6.1023998260498,328,132,267,1.0154800415039,4,25,49.438202247191,55.056179775281,10.216718266254,9.5975232198142,10.216718266254,2.7863777089783,46.439628482972
PRRollman,New Orleans Pelicans,47,297,5.7424597740173,336,124,243,1.1313099861145,23,6,51.028806584362,55.9670781893,14.141414141414,6.7340067340067,12.457912457912,2.6936026936027,53.198653198653
PRRollman,San Antonio Spurs,50,399,7.5525298118591,442,186,358,1.1077699661255,19,10,51.95530726257,55.72625698324,8.2706766917293,5.0125313283208,8.0200501253133,3.2581453634085,51.629072681704
PRRollman,Minnesota Timberwolves,51,404,7.306930065155,456,169,314,1.1287100315094,22,7,53.821656050955,57.643312101911,16.089108910891,8.6633663366337,15.594059405941,2.7227722772277,54.70297029703
PRRollman,Sacramento Kings,48,336,6.5972900390625,334,145,291,0.99404799938202,2,27,49.828178694158,51.718213058419,8.9285714285714,5.6547619047619,8.6309523809524,1.1904761904762,49.107142857143
PRRollman,Portland Trail Blazers,48,378,7.2776298522949,378,152,310,1.0,3,26,49.032258064516,52.58064516129,11.904761904762,10.582010582011,11.904761904762,4.4973544973545,47.354497354497
PRRollman,Phoenix Suns,48,243,4.5066800117493,263,93,188,1.0822999477386,17,12,49.468085106383,52.659574468085,18.106995884774,7.8189300411523,18.106995884774,3.2921810699588,52.674897119342
PRRollman,Charlotte Hornets,46,277,5.4303097724915,294,114,227,1.0613700151443,13,16,50.220264317181,55.286343612335,13.718411552347,7.2202166064982,13.357400722022,2.8880866425993,49.819494584838
PRRollman,Atlanta Hawks,47,401,7.8550400733948,427,173,334,1.0648399591446,14,15,51.796407185629,55.389221556886,11.471321695761,8.2294264339152,10.473815461347,2.9925187032419,51.122194513716
PRRollman,Boston Celtics,49,347,6.6436901092529,359,141,297,1.0345799922943,7,22,47.474747474747,52.020202020202,9.2219020172911,7.2046109510086,9.2219020172911,2.0172910662824,47.550432276657
PRRollman,Houston Rockets,46,429,8.5135898590088,490,203,353,1.1421899795532,25,4,57.507082152975,59.773371104816,16.550116550117,6.7599067599068,16.317016317016,5.5944055944056,56.177156177156
PRRollman,Cleveland Cavaliers,46,250,5.064829826355,285,111,216,1.1399999856949,24,5,51.388888888889,57.175925925926,9.6,6.0,8.8,2.0,52.0
PRRollman,Golden State Warriors,49,212,3.9530100822449,264,107,170,1.2452800273895,29,0,62.941176470588,67.647058823529,10.849056603774,11.320754716981,10.377358490566,2.3584905660377,58.962264150943
Postup,Atlanta Hawks,47,57,1.1165499687195,42,14,37,0.73684197664261,0,29,37.837837837838,37.837837837838,21.052631578947,19.298245614035,17.543859649123,5.2631578947368,38.59649122807
Postup,Los Angeles Lakers,47,301,5.5813097953796,251,99,227,0.83388698101044,9,20,43.612334801762,43.612334801762,13.953488372093,13.953488372093,11.295681063123,3.3222591362126,42.524916943522
Postup,Los Angeles Clippers,47,323,6.2355198860168,263,101,231,0.81424099206924,7,22,43.722943722944,43.722943722944,14.241486068111,16.71826625387,12.383900928793,2.7863777089783,41.795665634675
Postup,New York Knicks,49,575,10.751700401306,518,205,449,0.90087002515793,20,9,45.6570155902,45.6570155902,14.086956521739,12.0,12.869565217391,4.1739130434783,45.04347826087
Postup,Oklahoma City Thunder,48,306,5.7486400604248,264,96,223,0.86274498701096,13,16,43.04932735426,43.04932735426,16.666666666667,11.764705882353,14.705882352941,1.3071895424837,45.424836601307
Postup,Chicago Bulls,48,335,6.3736701011658,318,137,280,0.94925397634506,26,3,48.928571428571,48.928571428571,10.44776119403,8.955223880597,9.5522388059701,3.2835820895522,47.761194029851
Postup,Toronto Raptors,46,242,4.7920799255371,247,95,184,1.0206600427628,29,0,51.630434782609,51.630434782609,15.289256198347,11.98347107438,13.636363636364,3.3057851239669,50.826446280992
Postup,San Antonio Spurs,50,629,11.906100273132,575,225,506,0.91414898633957,23,6,44.466403162055,44.466403162055,14.467408585056,8.1081081081081,12.718600953895,3.0206677265501,46.422893481717
Postup,New Orleans Pelicans,47,441,8.5266799926758,426,156,306,0.96598601341248,27,2,50.980392156863,50.980392156863,19.954648526077,15.873015873016,17.006802721088,5.2154195011338,49.206349206349
Postup,Miami Heat,48,234,4.6604299545288,195,77,168,0.83333301544189,8,21,45.833333333333,45.833333333333,13.247863247863,17.521367521368,11.965811965812,2.991452991453,42.735042735043
Postup,Philadelphia 76ers,44,532,10.669899940491,477,166,352,0.89661699533463,18,11,47.159090909091,47.159090909091,18.796992481203,18.233082706767,17.293233082707,3.3834586466165,45.676691729323
Postup,Sacramento Kings,48,461,9.0516395568848,365,148,355,0.79175698757172,5,24,41.69014084507,41.69014084507,12.147505422993,12.581344902386,9.9783080260304,1.7353579175705,40.780911062907
Postup,Washington Wizards,48,297,5.674439907074,266,115,238,0.89562302827835,17,12,48.319327731092,48.319327731092,10.43771043771,11.784511784512,9.7643097643098,2.3569023569024,46.127946127946
Postup,Charlotte Hornets,46,509,9.978440284729,389,154,364,0.7642440199852,2,27,42.307692307692,42.307692307692,14.34184675835,15.520628683694,12.966601178782,1.7681728880157,40.864440078585
Postup,Milwaukee Bucks,46,288,5.9962501525879,268,116,228,0.93055599927902,25,4,50.877192982456,50.877192982456,10.416666666667,12.847222222222,7.9861111111111,2.4305555555556,47.222222222222
Postup,Portland Trail Blazers,48,376,7.2391200065613,289,117,280,0.76861697435379,3,26,41.785714285714,41.785714285714,10.63829787234,15.957446808511,9.3085106382979,1.3297872340426,39.627659574468
Postup,Utah Jazz,48,112,2.2156300544739,85,32,80,0.75892901420593,1,28,40.0,40.0,13.392857142857,16.071428571429,10.714285714286,0.89285714285714,41.071428571429
Postup,Brooklyn Nets,48,207,3.8742299079895,186,74,155,0.89855098724365,19,10,47.741935483871,47.741935483871,14.975845410628,14.009661835749,12.07729468599,3.8647342995169,44.927536231884
Postup,Denver Nuggets,48,393,7.4249000549316,351,130,281,0.89313000440598,16,13,46.26334519573,46.26334519573,18.066157760814,13.994910941476,15.521628498728,3.5623409669211,46.564885496183
Postup,Phoenix Suns,48,252,4.6735901832581,219,92,187,0.86904799938202,15,14,49.197860962567,49.197860962567,12.301587301587,16.666666666667,9.5238095238095,3.1746031746032,44.444444444444
Postup,Indiana Pacers,48,332,6.4641699790955,288,124,265,0.86747002601624,14,15,46.792452830189,46.792452830189,9.3373493975904,12.349397590361,8.433734939759,1.5060240963855,45.180722891566
Postup,Minnesota Timberwolves,51,495,8.9527902603149,495,205,389,1.0,28,1,52.699228791774,52.699228791774,12.727272727273,10.707070707071,11.919191919192,2.2222222222222,50.707070707071
Postup,Orlando Magic,47,254,4.9139099121094,216,90,200,0.85039401054382,12,17,45.0,45.0,10.629921259843,12.59842519685,9.0551181102362,1.9685039370079,42.913385826772
Postup,Detroit Pistons,46,211,4.2747201919556,176,67,157,0.83412301540375,10,19,42.675159235669,42.675159235669,14.691943127962,13.270142180095,12.796208530806,2.3696682464455,43.601895734597
Postup,Dallas Mavericks,48,342,6.8400001525879,310,117,263,0.90643298625946,21,8,44.486692015209,44.486692015209,15.204678362573,10.526315789474,13.74269005848,2.6315789473684,46.198830409357
Postup,Memphis Grizzlies,47,339,6.8916401863098,262,95,243,0.77286100387573,4,25,39.094650205761,39.094650205761,13.864306784661,16.519174041298,11.209439528024,2.0648967551622,39.233038348083
Postup,Boston Celtics,49,387,7.4095301628113,329,140,301,0.85012900829315,11,18,46.511627906977,46.511627906977,12.144702842377,13.43669250646,9.8191214470284,3.359173126615,43.410852713178
Postup,Golden State Warriors,49,335,6.2465000152588,307,123,247,0.91641801595688,24,5,49.797570850202,49.797570850202,12.537313432836,14.925373134328,10.746268656716,1.4925373134328,47.164179104478
Postup,Cleveland Cavaliers,46,422,8.5494298934937,383,147,316,0.90758299827576,22,7,46.518987341772,46.518987341772,13.507109004739,13.507109004739,10.900473933649,1.8957345971564,46.208530805687
Postup,Houston Rockets,46,99,1.9646799564362,80,31,71,0.808080971241,6,23,43.661971830986,43.661971830986,12.121212121212,17.171717171717,10.10101010101,1.010101010101,41.414141414141
Spotup,Toronto Raptors,46,1089,21.564399719238,1071,375,987,0.98347097635269,9,20,37.993920972644,50.861195542047,4.1322314049587,6.1524334251607,3.7649219467401,1.010101010101,37.281910009183
Spotup,Los Angeles Clippers,47,1024,19.768299102783,969,339,909,0.94628900289536,2,27,37.293729372937,48.844884488449,5.6640625,6.640625,4.78515625,1.07421875,37.5
Spotup,Chicago Bulls,48,1205,22.926200866699,1178,414,1079,0.97759300470352,7,22,38.368860055607,50.556070435589,5.7261410788382,6.3900414937759,5.1452282157676,1.6597510373444,37.842323651452
Spotup,Los Angeles Lakers,47,1043,19.33989906311,988,341,919,0.94726699590683,3,26,37.105549510337,49.020674646355,5.9443911792905,6.9031639501438,5.3691275167785,0.95877277085331,37.488015340364
Spotup,New York Knicks,49,832,15.557200431824,861,307,738,1.0348600149155,23,6,41.59891598916,54.268292682927,5.2884615384615,6.8509615384615,4.8076923076923,0.84134615384615,40.985576923077
Spotup,Oklahoma City Thunder,48,965,18.128900527954,929,319,870,0.96269398927689,5,24,36.666666666667,50.229885057471,4.3523316062176,6.4248704663212,3.8341968911917,0.93264248704663,36.062176165803
Spotup,Detroit Pistons,46,978,19.813600540161,1038,364,897,1.0613499879837,26,3,40.579710144928,54.738015607581,4.1922290388548,5.4192229038855,3.9877300613497,1.3292433537832,39.775051124744
Spotup,Portland Trail Blazers,48,836,16.095500946045,854,310,773,1.0215300321579,20,9,40.103492884864,53.104786545925,2.3923444976077,5.622009569378,2.3923444976077,0.47846889952153,38.995215311005
Spotup,Miami Heat,48,1029,20.493900299072,1044,366,934,1.0145800113678,17,12,39.186295503212,52.890792291221,4.178814382896,5.9280855199223,3.6929057337221,0.87463556851312,38.581146744412
Spotup,Charlotte Hornets,46,1087,21.309499740601,1019,373,978,0.93744200468063,1,28,38.139059304703,48.61963190184,4.4158233670653,6.163753449862,4.3238270469181,0.73597056117755,37.810487580497
Spotup,Dallas Mavericks,48,1088,21.760000228882,1178,419,1005,1.082720041275,29,0,41.691542288557,55.721393034826,3.3088235294118,4.8713235294118,2.5735294117647,0.55147058823529,41.176470588235
Spotup,Philadelphia 76ers,44,1058,21.219400405884,1015,353,940,0.95935702323914,4,25,37.553191489362,50.531914893617,3.875236294896,8.0340264650284,3.3081285444234,0.75614366729679,36.389413988658
Spotup,Denver Nuggets,48,1102,20.819999694824,1100,385,988,0.99818497896194,11,18,38.967611336032,52.125506072874,3.9927404718693,7.1687840290381,3.8112522686025,0.81669691470054,37.931034482759
Spotup,Memphis Grizzlies,47,1064,21.630399703979,1037,361,932,0.97462397813797,6,23,38.733905579399,51.12660944206,5.3571428571429,7.3308270676692,4.7932330827068,0.46992481203008,38.345864661654
Spotup,San Antonio Spurs,50,1277,24.171899795532,1274,450,1119,0.9976509809494,10,19,40.214477211796,51.966041108132,5.7948316366484,7.6742364917776,5.6382145653876,1.0963194988254,39.780736100235
