RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
198,"Tim Frazier, PG",DET,20,13.3,-0.54,0.68,0.14,0.16
199,"Cheick Diallo, PF",PHX,21,9.6,0.53,-0.39,0.14,0.12
200,"Brandon Clarke, SF",MEM,28,21.5,2.01,-1.88,0.13,0.38
201,"Derrick White, PG",SA,30,23.7,0.02,0.10,0.12,0.42
202,"Frank Mason III, PG",MIL,4,4.5,0.21,-0.11,0.10,0.01
203,"Dragan Bender, SF",MIL,3,9.7,0.33,-0.25,0.09,0.02
204,"Furkan Korkmaz, SG",PHI,35,20.6,-0.11,0.17,0.06,0.39
205,"Mitchell Robinson, C",NY,29,22.5,0.07,-0.02,0.05,0.35
206,"Taurean Prince, PF",BKN,32,30.5,-0.05,0.10,0.05,0.55
207,"Jabari Parker, PF",ATL,31,26.5,2.54,-2.51,0.03,0.45
208,"Michael Kidd-Gilchrist, SF",CHA,11,13.7,-1.19,1.20,0.01,0.07
209,"Jevon Carter, PG",PHX,23,14.0,-1.07,1.06,-0.01,0.16
210,"Jaylen Nowell, SG",MIN,5,11.8,-0.08,0.07,-0.01,0.03
