RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
78,"Marvin Williams, PF",CHA,65,28.8,0.94,0.34,1.28,5.24
79,"Steven Adams, C",OKC,65,33.9,-0.08,1.36,1.28,6.24
80,"Zaza Pachulia, C",DET,53,13.8,-2.22,3.49,1.27,1.93
81,"Myles Turner, C",IND,60,28.3,-2.22,3.48,1.26,4.64
82,"Cory Joseph, PG",IND,67,25.5,-0.15,1.36,1.21,4.61
83,"Dewayne Dedmon, C",ATL,56,25.1,-0.29,1.49,1.20,3.88
84,"D.J. Augustin, PG",ORL,67,27.6,2.22,-1.03,1.19,5.04
85,"Maximilian Kleber, PF",DAL,58,20.1,-0.93,2.11,1.18,3.17
86,"Kevin Love, PF",CLE,14,27.3,-0.10,1.25,1.15,0.97
87,"Tobias Harris, SF",LAC/PHI,68,34.8,1.56,-0.41,1.15,6.40
88,"Lou Williams, SG",LAC,62,26.5,3.84,-2.70,1.14,4.42
89,"Luke Kornet, PF",NY,34,15.8,-1.12,2.26,1.14,1.48
90,"Montrezl Harrell, PF",LAC,68,26.3,0.80,0.30,1.10,4.78
91,"Tyus Jones, PG",MIN,53,20.7,-0.21,1.28,1.07,2.96
92,"Jarrett Allen, C",BKN,67,26.6,-0.30,1.37,1.07,4.68
93,"Thomas Bryant, C",WSH,57,19.0,-0.42,1.46,1.04,2.76
94,"LaMarcus Aldridge, C",SA,66,32.9,0.74,0.29,1.03,5.63
95,"Mike Muscala, PF",LAL/PHI,54,20.6,-0.65,1.67,1.02,2.87
96,"Aron Baynes, C",BOS,39,14.6,-1.35,2.37,1.02,1.52
97,"Joakim Noah, C",MEM,38,16.2,-1.96,2.93,0.97,1.58
98,"Aaron Gordon, PF",ORL,64,33.6,0.32,0.65,0.97,5.47
99,"PJ Tucker, SF",HOU,67,35.1,-0.59,1.54,0.95,5.72
100,"Jayson Tatum, SF",BOS,67,31.1,0.06,0.88,0.94,5.25
101,"Ersan Ilyasova, PF",MIL,54,17.7,-0.31,1.24,0.93,2.59
102,"CJ McCollum, SG",POR,65,34.2,2.38,-1.45,0.93,5.61
103,"Ryan Arcidiacono, PG",CHI,67,24.6,0.88,0.04,0.92,4.13
104,"Langston Galloway, SG",DET,64,21.1,2.82,-1.93,0.89,3.28
105,"Ivica Zubac, C",LAC/LAL,45,16.8,-1.91,2.78,0.87,1.84
106,"Reggie Jackson, PG",DET,66,28.5,2.03,-1.24,0.79,4.36
107,"Larry Nance Jr., PF",CLE,56,26.1,-0.02,0.78,0.76,3.58
108,"Gary Harris, SG",DEN,40,28.7,0.13,0.57,0.70,2.74
109,"D'Angelo Russell, PG",BKN,68,29.9,2.15,-1.46,0.69,4.90
110,"Jeremy Lamb, SG",CHA,64,28.8,0.48,0.17,0.65,4.28
111,"Buddy Hield, SG",SAC,66,32.1,1.68,-1.03,0.65,5.24
112,"Tyson Chandler, C",LAL/PHX,53,16.0,-2.86,3.50,0.64,2.10
113,"Luol Deng, SF",MIN,22,17.8,-0.50,1.12,0.62,0.97
114,"Taj Gibson, PF",MIN,66,24.5,0.08,0.48,0.56,3.83
115,"Noah Vonleh, PF",NY,66,25.5,-0.67,1.21,0.54,3.95
116,"Jakob Poeltl, C",SA,62,15.6,-0.39,0.93,0.54,2.24
117,"David Nwaba, SG",CLE,36,18.7,-0.27,0.79,0.52,1.45
118,"Mikal Bridges, SF",PHX,68,27.9,0.21,0.29,0.50,4.27
119,"George Hill, PG",CLE/MIL,47,22.1,-0.76,1.24,0.48,2.30
120,"Maurice Harkless, SF",POR,46,22.4,-1.21,1.68,0.47,2.30
121,"Jamal Murray, PG",DEN,59,33.0,1.70,-1.23,0.47,4.34
122,"Landry Shamet, PG",LAC/PHI,66,22.0,1.96,-1.50,0.46,3.17
123,"Cody Zeller, C",CHA,49,25.4,-0.76,1.21,0.45,2.87
124,"Ricky Rubio, PG",UTAH,56,28.8,-0.06,0.48,0.42,3.75
125,"DeMarcus Cousins, C",GS,19,25.5,-1.65,2.04,0.39,1.07
126,"Patty Mills, PG",SA,67,23.6,2.35,-2.00,0.35,3.50
127,"Cheick Diallo, PF",NO,51,12.6,-1.74,2.07,0.33,1.45
128,"Thabo Sefolosha, SF",UTAH,36,10.3,-1.51,1.83,0.32,0.84
129,"Omri Casspi, F",MEM,36,14.4,-0.91,1.20,0.29,1.15
130,"Tomas Satoransky, SG",WSH,65,26.0,0.28,0.01,0.29,3.51
131,"DeMar DeRozan, SG",SA,62,35.2,0.34,-0.07,0.27,4.62
132,"Bam Adebayo, C",MIA,66,22.4,-1.13,1.35,0.22,3.08
133,"Meyers Leonard, PF",POR,55,14.2,0.65,-0.45,0.20,1.58
134,"Khem Birch, C",ORL,36,11.9,-0.59,0.77,0.18,0.88
135,"Gordon Hayward, SF",BOS,62,25.9,1.02,-0.89,0.13,3.21
136,"Bogdan Bogdanovic, SG",SAC,54,28.5,0.66,-0.54,0.12,3.22
137,"Jonas Jerebko, PF",GS,60,17.4,0.38,-0.27,0.11,2.14
138,"Kyle Kuzma, PF",LAL,60,32.9,0.78,-0.67,0.11,4.21
139,"Julius Randle, C",NO,62,30.3,1.61,-1.54,0.07,3.97
140,"Ian Mahinmi, C",WSH,31,14.4,-2.58,2.63,0.05,0.83
141,"Raul Neto, PG",UTAH,25,12.0,-0.01,0.06,0.05,0.62
142,"Mitchell Robinson, C",NY,51,19.1,-0.68,0.72,0.04,1.91
143,"Darius Miller, SF",NO,61,25.4,0.60,-0.57,0.03,3.12
144,"Klay Thompson, SG",GS,63,34.4,2.08,-2.06,0.02,4.31
145,"Lauri Markkanen, PF",CHI,45,33.0,0.46,-0.45,0.01,2.85
146,"Delon Wright, PG",TOR/MEM,61,20.2,-0.41,0.41,0.00,2.42
147,"Clint Capela, C",HOU,52,34.1,-0.94,0.94,0.00,3.27
148,"Lonzo Ball, PG",LAL,47,30.3,-1.30,1.30,0.00,2.97
149,"Alex Len, C",ATL,64,19.6,-1.51,1.48,-0.03,2.56
150,"Pau Gasol, C",MIL/SA,30,12.0,-2.36,2.32,-0.04,0.68
151,"Danuel House Jr., SF",HOU,25,24.8,0.29,-0.33,-0.04,1.16
152,"Nicolas Batum, SF",CHA,66,32.2,0.05,-0.10,-0.05,4.18
153,"Jae Crowder, PF",UTAH,65,27.9,0.87,-0.92,-0.05,3.57
154,"Josh Hart, SG",LAL,63,25.8,-1.46,1.39,-0.07,3.31
155,"Joe Harris, SF",BKN,64,29.9,1.59,-1.68,-0.09,3.63
156,"Serge Ibaka, C",TOR,64,28.0,-0.30,0.17,-0.13,3.38
157,"Harrison Barnes, SF",DAL/SAC,61,33.1,-0.35,0.22,-0.13,3.86
