TEAM_NAME,G_ON_MADE,PLAYER_NAME,FREQUENCY_ON_MADE,PASS_ON_MADE,AST_ON_MADE,FGM_ON_MADE,FGA_ON_MADE,FG_PCT_ON_MADE,FG2M_ON_MADE,FG2A_ON_MADE,FG2_PCT_ON_MADE,FG3M_ON_MADE,FG3A_ON_MADE,FG3_PCT_ON_MADE,G_ON_RECEIVED,FREQUENCY_ON_RECEIVED,PASS_ON_RECEIVED,AST_ON_RECEIVED,FGM_ON_RECEIVED,FGA_ON_RECEIVED,FG_PCT_ON_RECEIVED,FG2M_ON_RECEIVED,FG2A_ON_RECEIVED,FG2_PCT_ON_RECEIVED,FG3M_ON_RECEIVED,FG3A_ON_RECEIVED,FG3_PCT_ON_RECEIVED
Toronto Raptors,18.0,"Powell, Norman",0.053,18.78,1.89,2.61,6.61,0.395,1.94,3.89,0.5,0.67,2.72,0.245,18.0,0.067,24.06,1.67,3.06,7.61,0.401,1.83,4.0,0.458,1.22,3.61,0.338
Toronto Raptors,4.0,"Brown, Lorenzo",0.009,14.5,1.25,1.75,3.25,0.538,0.75,1.25,0.6,1.0,2.0,0.5,4.0,0.007,11.75,0.0,0.25,1.5,0.167,0.25,0.75,0.333,0.0,0.75,0.0
Toronto Raptors,19.0,"Miles, CJ",0.039,13.32,0.68,1.42,3.47,0.409,1.16,2.53,0.458,0.26,0.95,0.278,19.0,0.049,16.42,2.63,3.05,8.21,0.372,0.74,1.95,0.378,2.32,6.26,0.37
Toronto Raptors,22.0,"Anunoby, OG",0.046,13.27,0.91,1.5,3.5,0.429,1.09,2.59,0.421,0.41,0.91,0.45,22.0,0.045,13.23,2.0,2.32,5.14,0.451,1.23,2.5,0.491,1.09,2.64,0.414
Toronto Raptors,17.0,"Nogueira, Lucas",0.032,12.24,0.35,1.06,2.59,0.409,0.71,1.59,0.444,0.35,1.0,0.353,16.0,0.022,8.94,1.44,1.44,2.56,0.561,1.25,1.94,0.645,0.19,0.63,0.3
Toronto Raptors,4.0,"McKinnie, Alfonzo",0.003,5.25,0.25,0.75,0.75,1.0,0.5,0.5,1.0,0.25,0.25,1.0,4.0,0.003,5.0,1.0,1.0,1.75,0.571,0.75,1.0,0.75,0.25,0.75,0.333
Utah Jazz,25.0,"Rubio, Ricky",0.178,62.12,4.72,6.16,15.64,0.394,3.88,9.4,0.413,2.28,6.24,0.365,25.0,0.19,66.16,1.56,3.6,10.08,0.357,2.44,6.16,0.396,1.16,3.92,0.296
Utah Jazz,26.0,"Favors, Derrick",0.13,43.62,1.85,3.38,7.62,0.444,2.19,5.0,0.438,1.19,2.62,0.456,26.0,0.103,34.54,4.15,4.58,9.15,0.5,4.42,8.54,0.518,0.15,0.62,0.25
Utah Jazz,26.0,"Ingles, Joe",0.123,41.38,4.0,5.46,13.46,0.406,4.31,9.27,0.465,1.15,4.19,0.275,26.0,0.128,42.96,2.42,3.54,8.15,0.434,0.96,2.5,0.385,2.58,5.65,0.456
Utah Jazz,26.0,"Mitchell, Donovan",0.105,35.35,3.23,4.46,8.77,0.509,2.81,5.12,0.549,1.65,3.65,0.453,26.0,0.143,48.12,2.46,5.96,15.04,0.396,3.58,8.69,0.412,2.38,6.35,0.376
